exchange_ticker	info
NasdaqGM:GWRS	NasdaqGM:GWRS;TSX:GWR;DB:GGL
NasdaqCM:GLAQ	NasdaqCM:GLAQ;NasdaqCM:GLAQ.U
NasdaqCM:GLBS	NasdaqCM:GLBS;DB:0G93
NasdaqCM:GSMG	NasdaqCM:GSMG
NasdaqGM:GLYC	NasdaqGM:GLYC;DB:GKO
NasdaqCM:PUCK	NasdaqCM:PUCK;NasdaqCM:PUCK.U
NasdaqGS:GOGO	NasdaqGS:GOGO;LSE:0IYQ;DB:G0G
NasdaqGS:GOCO	NasdaqGS:GOCO
NasdaqGS:GLNG	NasdaqGS:GLNG;OTCNO:GOL;LSE:0HDY;BMV:GLNGN;DB:G2O
NasdaqCM:GAMC.U	NasdaqCM:GAMC.U
NasdaqGM:GDEN	NasdaqGM:GDEN;LSE:0A10;DB:GE6
NasdaqGM:GNOG	NasdaqGM:GNOG
NasdaqGS:GOGL	NasdaqGS:GOGL;OB:GOGL;LSE:0RII;DB:KT31
NasdaqCM:GBRG	NasdaqCM:GBRG;NasdaqCM:GBRG.U
NasdaqCM:GTIM	NasdaqCM:GTIM
NasdaqCM:GWAC	NasdaqCM:GWAC
NasdaqGS:GDRX	NasdaqGS:GDRX
NasdaqGS:GSHD	NasdaqGS:GSHD;DB:2OX
NasdaqGS:GPRO	NasdaqGS:GPRO;XTRA:GPRO;SWX:GPRO;LSE:0R1C;BMV:GPRO*;BOVESPA:GPRO34;WBAG:GPRO;DB:5G5
NasdaqCM:GGPI.U	NasdaqCM:GGPI.U
NasdaqCM:GRSV	NasdaqCM:GRSV;NasdaqCM:GRSV.U
NasdaqCM:GHVI	NasdaqCM:GHVI;NasdaqCM:GHVI.U
NasdaqCM:GSEV	NasdaqCM:GSEV;NasdaqCM:GSEV.U
NasdaqCM:GIIX	NasdaqCM:GIIX;NasdaqCM:GIIX.U
NasdaqCM:GMII	NasdaqCM:GMII;NasdaqCM:GMII.U
NasdaqCM:GTPB.U	NasdaqCM:GTPB.U
NasdaqCM:GTPA.U	NasdaqCM:GTPA.U
NasdaqGS:GOSS	NasdaqGS:GOSS;MUN:4GB;DB:4GB
NasdaqGS:GRCL	NasdaqGS:GRCL
NasdaqGS:LOPE	NasdaqGS:LOPE;DB:GKD
NasdaqGM:GRVY	NasdaqGM:GRVY;DB:GD8A
NasdaqGM:GRAY	NasdaqGM:GRAY
NasdaqGS:GEG	NasdaqGS:GEG;DB:PNC
NasdaqGS:GLDD	NasdaqGS:GLDD;DB:5GL
NasdaqGS:GSBC	NasdaqGS:GSBC;DB:GS6
NasdaqCM:GRBK	NasdaqCM:GRBK;DB:2G1
NasdaqGS:GPRE	NasdaqGS:GPRE;LSE:0J0P;DB:G3V
NasdaqGM:GPP	NasdaqGM:GPP
NasdaqCM:GBOX	NasdaqCM:GBOX
NasdaqCM:GRCY	NasdaqCM:GRCY;NasdaqCM:GRCY.U
NasdaqCM:GCBC	NasdaqCM:GCBC
NasdaqCM:GTEC	NasdaqCM:GTEC
NasdaqGM:GNLN	NasdaqGM:GNLN;BST:G67;DB:G67
NasdaqGS:GLRE	NasdaqGS:GLRE
NasdaqCM:GRNQ	NasdaqCM:GRNQ
NasdaqCM:GNRS	NasdaqCM:GNRS;NasdaqCM:GNRS.U;DB:50U
NasdaqGS:GSKY	NasdaqGS:GSKY
NasdaqCM:GRNV	NasdaqCM:GRNV;NasdaqCM:GRNV.U;DB:GR9
NasdaqCM:GLSI	NasdaqCM:GLSI
NasdaqCM:GDYN	NasdaqCM:GDYN
NasdaqGS:GRIN	NasdaqGS:GRIN;JSE:GSH
NasdaqGS:GRTS	NasdaqGS:GRTS;BST:2JQ;DB:2JQ
NasdaqGS:GO	NasdaqGS:GO
NasdaqCM:GNAC	NasdaqCM:GNAC;NasdaqCM:GNAC.U
NasdaqGS:GRPN	NasdaqGS:GRPN;LSE:0R1H;BMV:GRPN*;WBAG:GRP2;DB:G5NA
NasdaqCM:GRWG	NasdaqCM:GRWG;BMV:GRWG*
NasdaqCM:GCAC	NasdaqCM:GCAC;NasdaqCM:GCAC.U
NasdaqCM:GVP	NasdaqCM:GVP;DB:GSE
NasdaqGS:GSIT	NasdaqGS:GSIT
NasdaqCM:GTBP	NasdaqCM:GTBP;DB:OXI
NasdaqCM:GTYH	NasdaqCM:GTYH
NasdaqGS:GNTY	NasdaqGS:GNTY
NasdaqGM:GFED	NasdaqGM:GFED
NasdaqGS:GH	NasdaqGS:GH;XTRA:5GH;BMV:GH*;DB:5GH
NasdaqCM:GHSI	NasdaqCM:GHSI;DB:0QT0
NasdaqGS:GIFI	NasdaqGS:GIFI;DB:GU2
NasdaqGS:GURE	NasdaqGS:GURE;DB:R29B
NasdaqGM:GWPH	NasdaqGM:GWPH;OTCPK:GWPR.F;LSE:0IT7;DB:GW2A
NasdaqCM:GWGH	NasdaqCM:GWGH;DB:8UP
NasdaqCM:GXGX	NasdaqCM:GXGX
NasdaqCM:GXII.U	NasdaqCM:GXII.U
NasdaqGS:HEES	NasdaqGS:HEES;DB:H6P
NasdaqGM:HLG	NasdaqGM:HLG;BST:H0X;LSE:0A11
NasdaqCM:HOFV	NasdaqCM:HOFV
NasdaqCM:HNRG	NasdaqCM:HNRG;DB:H7H
NasdaqGM:HALL	NasdaqGM:HALL
NasdaqGS:HALO	NasdaqGS:HALO;LSE:0J2O;DB:RV7
NasdaqCM:HLAH	NasdaqCM:HLAH;NasdaqCM:HLAH.U
NasdaqCM:HJLI	NasdaqCM:HJLI;BST:5HJ;DB:5HJ0
NasdaqGS:HWC	NasdaqGS:HWC;DB:HH1
NasdaqGS:HAFC	NasdaqGS:HAFC;DB:HF7N
NasdaqCM:HAPP	NasdaqCM:HAPP;NasdaqCM:HAPP;BST:2UO1;DB:2UO1
NasdaqCM:HCDI	NasdaqCM:HCDI;DB:5EI
NasdaqGS:HONE	NasdaqGS:HONE;DB:1S4
NasdaqGS:HLIT	NasdaqGS:HLIT;LSE:0J38;DB:HMC
NasdaqGM:HRMY	NasdaqGM:HRMY
NasdaqGS:HARP	NasdaqGS:HARP;DB:5HT
NasdaqGM:HROW	NasdaqGM:HROW;DB:3IP
NasdaqGM:HBIO	NasdaqGM:HBIO;DB:HBI
NasdaqGS:HAS	NasdaqGS:HAS;XTRA:HAS;LSE:0J3K;BMV:HAS*;WBAG:HAS;BOVESPA:H1AS34;DB:HAS
NasdaqGS:HA	NasdaqGS:HA;LSE:0J3N;DB:1HW
NasdaqGS:HWKN	NasdaqGS:HWKN;DB:HWK
NasdaqGS:HWBK	NasdaqGS:HWBK
NasdaqCM:HYAC	NasdaqCM:HYAC;NasdaqCM:HYAC.U
NasdaqGS:HAYN	NasdaqGS:HAYN;DB:HYVN
NasdaqGS:HBT	NasdaqGS:HBT;DB:9ND
NasdaqGS:HHR	NasdaqGS:HHR;MISX:HHRU
NasdaqCM:HAAC	NasdaqCM:HAAC;NasdaqCM:HAAC.U
NasdaqGS:HCAT	NasdaqGS:HCAT;DB:2YP
NasdaqCM:HSAQ	NasdaqCM:HSAQ
NasdaqCM:HCCC	NasdaqCM:HCCC;NasdaqCM:HCCC.U
NasdaqCM:HCAR	NasdaqCM:HCAR;NasdaqCM:HCAR.U
NasdaqGS:HCSG	NasdaqGS:HCSG;DB:HS1
NasdaqCM:HCAQ	NasdaqCM:HCAQ
NasdaqGS:HQY	NasdaqGS:HQY;DB:2HE
NasdaqGS:HSTM	NasdaqGS:HSTM;DB:HL5
NasdaqGS:HTLD	NasdaqGS:HTLD;DB:HLX
NasdaqGS:HTLF	NasdaqGS:HTLF;DB:1H4
NasdaqCM:HTBX	NasdaqCM:HTBX;DB:1HB
NasdaqGS:HSII	NasdaqGS:HSII;DB:HSI
NasdaqGS:HELE	NasdaqGS:HELE;DB:HT2
NasdaqGS:HLIO	NasdaqGS:HLIO;DB:SH7
NasdaqCM:HSDT	NasdaqCM:HSDT;TSX:HSM;DB:26HA
NasdaqCM:HLXA	NasdaqCM:HLXA
NasdaqGM:HMTV	NasdaqGM:HMTV;DB:5TY
NasdaqCM:HCIC	NasdaqCM:HCIC;NasdaqCM:HCIC.U
NasdaqGS:HSIC	NasdaqGS:HSIC;XTRA:HSIC;LSE:0L3C;WBAG:HSIC;BOVESPA:H1SI34;DB:HS2
NasdaqCM:HEPA	NasdaqCM:HEPA;BST:336P;DB:336P
NasdaqGS:HTBK	NasdaqGS:HTBK;DB:XHC
NasdaqGS:HFWA	NasdaqGS:HFWA
NasdaqCM:HGBL	NasdaqCM:HGBL;DB:LGC
NasdaqGS:HCCI	NasdaqGS:HCCI
NasdaqGS:MLHR	NasdaqGS:MLHR;DB:MHR
NasdaqCM:HRTX	NasdaqCM:HRTX;LSE:0J4V;DB:AXD2
NasdaqCM:HSKA	NasdaqCM:HSKA;DB:HSKN
NasdaqCM:HFFG	NasdaqCM:HFFG;DB:3GX
NasdaqGS:HIBB	NasdaqGS:HIBB;DB:HB6
NasdaqCM:CAPA	NasdaqCM:CAPA;NasdaqCM:CAPA.U
NasdaqGM:HPK	NasdaqGM:HPK;DB:58R
NasdaqCM:HIHO	NasdaqCM:HIHO
NasdaqGS:HIMX	NasdaqGS:HIMX;LSE:0J5H;DB:H6Q
NasdaqGM:HIFS	NasdaqGM:HIFS
NasdaqCM:HQI	NasdaqCM:HQI
NasdaqCM:HSTO	NasdaqCM:HSTO;LSE:0A8J;DB:CPH1
NasdaqGM:HMNF	NasdaqGM:HMNF
NasdaqCM:HOL	NasdaqCM:HOL;NasdaqCM:HOLU.U
NasdaqGS:HOLI	NasdaqGS:HOLI;LSE:0M58;DB:46H
NasdaqGS:HOLX	NasdaqGS:HOLX;XTRA:HOLX;LSE:0J5Q;BMV:HOLX*;WBAG:HOLX;BOVESPA:H1OL34;DB:HO1
NasdaqGS:HBCP	NasdaqGS:HBCP
NasdaqGS:HOMB	NasdaqGS:HOMB
NasdaqCM:HFBL	NasdaqCM:HFBL
NasdaqGS:HMPT	NasdaqGS:HMPT
NasdaqGS:HMST	NasdaqGS:HMST
NasdaqGS:HTBI	NasdaqGS:HTBI
NasdaqGS:FIXX	NasdaqGS:FIXX;LSE:0T6G;DB:35H
NasdaqGS:HOFT	NasdaqGS:HOFT
NasdaqGS:HOOK	NasdaqGS:HOOK
NasdaqGS:HOPE	NasdaqGS:HOPE;DB:NRB
NasdaqGS:HBNC	NasdaqGS:HBNC;DB:4WC
NasdaqGS:HZNP	NasdaqGS:HZNP;BMV:HZNPN;BOVESPA:H1ZN34;DB:HPR
NasdaqCM:TWNK	NasdaqCM:TWNK;DB:H1B
NasdaqCM:HOTH	NasdaqCM:HOTH
NasdaqGS:HMHC	NasdaqGS:HMHC;DB:HM0
NasdaqGS:HWCC	NasdaqGS:HWCC;DB:H6J
NasdaqCM:HBMD	NasdaqCM:HBMD
NasdaqCM:HTGM	NasdaqCM:HTGM;DB:65HA
NasdaqCM:HUDI	NasdaqCM:HUDI
NasdaqGS:HTHT	NasdaqGS:HTHT;LSE:0A2I;BMV:HTHTN;DB:CL4A;DB:CL4B;SEHK:1179
NasdaqGS:HUBG	NasdaqGS:HUBG;DB:HBG
NasdaqCM:HUSN	NasdaqCM:HUSN;DB:CH11
NasdaqCM:HEC	NasdaqCM:HEC;NasdaqCM:HECC.U
NasdaqCM:HCII	NasdaqCM:HCII;NasdaqCM:HCII.U
NasdaqCM:HIII	NasdaqCM:HIII;NasdaqCM:HIII.U
NasdaqGS:HSON	NasdaqGS:HSON;DB:HDH1
NasdaqCM:HDSN	NasdaqCM:HDSN;DB:HT4
NasdaqGM:HUIZ	NasdaqGM:HUIZ
NasdaqCM:HMCO	NasdaqCM:HMCO;NasdaqCM:HMCO.U
NasdaqCM:HGEN	NasdaqCM:HGEN
NasdaqGS:HBAN	NasdaqGS:HBAN;XTRA:HU3;LSE:0J72;BMV:HBAN*;BOVESPA:H1BA34;DB:HU3
NasdaqGS:HURC	NasdaqGS:HURC
NasdaqGS:HURN	NasdaqGS:HURN;DB:HUR
NasdaqCM:HBP	NasdaqCM:HBP;DB:HBU
NasdaqCM:HVBC	NasdaqCM:HVBC
NasdaqCM:HYMC	NasdaqCM:HYMC;NasdaqCM:HYMC.W
NasdaqGS:HYFM	NasdaqGS:HYFM;DB:5TUA
NasdaqCM:HYRE	NasdaqCM:HYRE;BST:8HY;DB:8HY
NasdaqGM:HYW	NasdaqGM:HYW
NasdaqGM:IMAB	NasdaqGM:IMAB;DB:0VY
NasdaqGS:IIIV	NasdaqGS:IIIV
NasdaqGS:IAC	NasdaqGS:IAC;XTRA:4LR;BMV:IAC1*;BOVESPA:I1AC34;DB:4LR
NasdaqGM:IBEX	NasdaqGM:IBEX
NasdaqCM:ICAD	NasdaqCM:ICAD;DB:HWT1
NasdaqGS:IEP	NasdaqGS:IEP;BST:2IN;DB:2IN
NasdaqCM:ICCH	NasdaqCM:ICCH
NasdaqGS:ICFI	NasdaqGS:ICFI
NasdaqGS:ICHR	NasdaqGS:ICHR;LSE:0Z0F;DB:4IH
NasdaqGM:ICLK	NasdaqGM:ICLK;BST:I9CA;DB:I9CA
NasdaqGS:ICLR	NasdaqGS:ICLR;DB:IJF
NasdaqGS:ICON	NasdaqGS:ICON;DB:IKIA
NasdaqGS:ICUI	NasdaqGS:ICUI;DB:IC7
NasdaqCM:IPWR	NasdaqCM:IPWR;DB:5ILA
NasdaqCM:IDEX	NasdaqCM:IDEX;LSE:0A4F
NasdaqGS:IDYA	NasdaqGS:IDYA;BST:30J;DB:30J
NasdaqCM:INVE	NasdaqCM:INVE;DB:INVN
NasdaqCM:IDRA	NasdaqCM:IDRA;DB:HXXB
NasdaqGS:IDXX	NasdaqGS:IDXX;XTRA:IDXX;LSE:0J8P;BMV:IDXX*;WBAG:IDXX;BOVESPA:I1DX34;DB:IX1
NasdaqGM:IEC	NasdaqGM:IEC;DB:IE1
NasdaqGM:IESC	NasdaqGM:IESC;DB:45T
NasdaqCM:IROQ	NasdaqCM:IROQ
NasdaqCM:IFMK	NasdaqCM:IFMK;BST:IFE;DB:IFE
NasdaqCM:IGAC	NasdaqCM:IGAC;NasdaqCM:IGAC.U
NasdaqGS:IGMS	NasdaqGS:IGMS;DB:1K0
NasdaqCM:IGNY	NasdaqCM:IGNY;NasdaqCM:IGNY.U
NasdaqGS:IHRT	NasdaqGS:IHRT;OTCPK:IHRT.B
NasdaqGS:IIVI	NasdaqGS:IIVI;LSE:0LHO;DB:II6
NasdaqGM:IKNA	NasdaqGM:IKNA
NasdaqCM:IKNX	NasdaqCM:IKNX
NasdaqGS:ILMN	NasdaqGS:ILMN;XTRA:ILU;LSE:0J8Z;BMV:ILMN*;WBAG:ILMN;BOVESPA:I1LM34;DB:ILU
NasdaqCM:IMAC	NasdaqCM:IMAC;DB:I02
NasdaqCM:ISNS	NasdaqCM:ISNS;DB:IM9
NasdaqGS:IMRA	NasdaqGS:IMRA
NasdaqCM:IMBI	NasdaqCM:IMBI;DB:VVIA
NasdaqCM:IMTX	NasdaqCM:IMTX;BST:4A3
NasdaqGS:IMMR	NasdaqGS:IMMR;DB:IMV
NasdaqCM:ICCC	NasdaqCM:ICCC;DB:IUL
NasdaqGS:IMUX	NasdaqGS:IMUX;DB:10VA
NasdaqGS:IBRX	NasdaqGS:IBRX;DB:26CA
NasdaqGS:IMCR	NasdaqGS:IMCR;MUN:6YG
NasdaqGS:IMGN	NasdaqGS:IMGN;XTRA:IMU;LSE:0A8K;BMV:IMGN*;DB:IMU
NasdaqCM:IMNM	NasdaqCM:IMNM
NasdaqGS:IMVT	NasdaqGS:IMVT
NasdaqGM:IMPL	NasdaqGM:IMPL
NasdaqGS:PI	NasdaqGS:PI;LSE:0J9J;DB:27J
NasdaqGS:NARI	NasdaqGS:NARI
NasdaqGS:INCY	NasdaqGS:INCY;LSE:0J9P;BMV:INCY*;WBAG:INCY;BOVESPA:I1NC34;DB:ICY
NasdaqCM:ACQR	NasdaqCM:ACQR;NasdaqCM:ACQR.U
NasdaqGS:INDB	NasdaqGS:INDB
NasdaqGS:IBCP	NasdaqGS:IBCP
NasdaqGS:IBTX	NasdaqGS:IBTX;DB:I3B
NasdaqCM:ITAC	NasdaqCM:ITAC;NasdaqCM:ITAC.U
NasdaqGS:INFN	NasdaqGS:INFN;BMV:INFN*;DB:IX6
NasdaqGS:INFI	NasdaqGS:INFI;DB:I3F
NasdaqGS:IFRX	NasdaqGS:IFRX;XTRA:IF0;BMV:IFRXN;DB:IF0
NasdaqCM:IFBD	NasdaqCM:IFBD
NasdaqGM:III	NasdaqGM:III
NasdaqCM:IEA	NasdaqCM:IEA
NasdaqGS:IMKT.A	NasdaqGS:IMKT.A;DB:IN3A
NasdaqCM:IKT	NasdaqCM:IKT;DB:IQT
NasdaqGM:INBX	NasdaqGM:INBX;DB:1RK
NasdaqGS:INMD	NasdaqGS:INMD
NasdaqCM:INMB	NasdaqCM:INMB
NasdaqGM:INOD	NasdaqGM:INOD;DB:ID6
NasdaqGS:IOSP	NasdaqGS:IOSP;LSE:0JAX;DB:OCT
NasdaqGS:INNV	NasdaqGS:INNV
NasdaqGS:ISSC	NasdaqGS:ISSC
NasdaqGS:INVA	NasdaqGS:INVA;DB:HVE
NasdaqCM:INVZ	NasdaqCM:INVZ
NasdaqGS:INGN	NasdaqGS:INGN;DB:6IO
NasdaqCM:NOTV	NasdaqCM:NOTV;DB:A2QRE5
NasdaqGS:INOV	NasdaqGS:INOV;DB:IOV
NasdaqGS:INO	NasdaqGS:INO;LSE:0A43;BMV:INO*;DB:GBMB
NasdaqGS:INZY	NasdaqGS:INZY
NasdaqCM:INPX	NasdaqCM:INPX;DB:1XS4
NasdaqGS:INSG	NasdaqGS:INSG;LSE:0A52;DB:INO
NasdaqGS:NSIT	NasdaqGS:NSIT;BMV:NSIT*;DB:IEI
NasdaqCM:ISIG	NasdaqCM:ISIG
NasdaqGS:INSM	NasdaqGS:INSM;BST:IM8N;LSE:0JAV;BMV:INSM*;DB:IM8N
NasdaqCM:INSE	NasdaqCM:INSE;DB:4U8
NasdaqGS:TIL	NasdaqGS:TIL
NasdaqCM:IIII	NasdaqCM:IIII;NasdaqCM:IIII.U
NasdaqGS:PODD	NasdaqGS:PODD;DB:GOV
NasdaqCM:NTEC	NasdaqCM:NTEC
NasdaqGS:IART	NasdaqGS:IART;DB:IL3
NasdaqCM:IMTE	NasdaqCM:IMTE
NasdaqGS:INTC	NasdaqGS:INTC;XTRA:INL;KAS:US_INTC;BVL:INTC;SWX:INTC;SNSE:INTC;BVC:INTC;BASE:INTC;BMV:INTC*;WBAG:INTC;ENXTBR:INCO;BOVESPA:ITLC34;DB:INL;SEHK:4335
NasdaqGM:NTLA	NasdaqGM:NTLA;LSE:0JBU;DB:38I
NasdaqGM:IDN	NasdaqGM:IDN;BST:J5L1
NasdaqGS:IPAR	NasdaqGS:IPAR;DB:JF1
NasdaqGS:IBKR	NasdaqGS:IBKR;BMV:IBKR*;DB:KY6
NasdaqGS:ICPT	NasdaqGS:ICPT;BMV:ICPT*;DB:I4P
NasdaqGS:IDCC	NasdaqGS:IDCC;LSE:0U3Q;DB:IDI
NasdaqGS:TILE	NasdaqGS:TILE;BMV:TILE*;DB:IF6N
NasdaqCM:LINK	NasdaqCM:LINK
NasdaqGS:IBOC	NasdaqGS:IBOC;BMV:IBOC*;DB:IB4
NasdaqCM:IGIC	NasdaqCM:IGIC
NasdaqCM:IMXI	NasdaqCM:IMXI
NasdaqCM:IPVI	NasdaqCM:IPVI;NasdaqCM:IPVI.U
NasdaqGM:XENT	NasdaqGM:XENT;DB:7IN
NasdaqGS:IVAC	NasdaqGS:IVAC
NasdaqGS:ITCI	NasdaqGS:ITCI;DB:23I
NasdaqGM:IIN	NasdaqGM:IIN;DB:SLJ
NasdaqCM:INTZ	NasdaqCM:INTZ
NasdaqGS:INTU	NasdaqGS:INTU;XTRA:ITU;LSE:0JCT;BMV:INTU*;WBAG:INTU;BOVESPA:INTU34;DB:ITU
NasdaqGS:ISRG	NasdaqGS:ISRG;BRSE:ISRG;XTRA:ISRG;LSE:0R29;BMV:ISRG*;WBAG:ISRG;BOVESPA:I1SR34;DB:IUI1
NasdaqGM:ISTR	NasdaqGM:ISTR;DB:7ZH
NasdaqGS:ISBC	NasdaqGS:ISBC;BOVESPA:ISBC34;DB:0IB
NasdaqGS:ITIC	NasdaqGS:ITIC
NasdaqCM:NVIV	NasdaqCM:NVIV;DB:04IC
NasdaqCM:INVO	NasdaqCM:INVO
NasdaqGS:IONS	NasdaqGS:IONS;LSE:0JDI;SWX:IONS;BMV:IONS*;DB:ISI
NasdaqGM:IOVA	NasdaqGM:IOVA;LSE:0JDK;DB:2LB
NasdaqGS:IPGP	NasdaqGS:IPGP;LSE:0J86;BMV:IPGP*;BOVESPA:I1PG34;DB:IPF
NasdaqGS:IQ	NasdaqGS:IQ;LSE:0XWG;DB:IQ8
NasdaqCM:IRMD	NasdaqCM:IRMD;BST:46K;DB:46K
NasdaqGS:IRTC	NasdaqGS:IRTC;LSE:0A7L;DB:I25
NasdaqGM:IRIX	NasdaqGM:IRIX;DB:IX4
NasdaqGS:IRDM	NasdaqGS:IRDM;LSE:0JDO;DB:6IC
NasdaqGS:IRBT	NasdaqGS:IRBT;XTRA:I8R;LSE:0R38;SWX:IRBT;WBAG:IRBT;DB:I8R
NasdaqGS:IRWD	NasdaqGS:IRWD;DB:I76
NasdaqCM:ISLE	NasdaqCM:ISLE;NasdaqGM:ISLE.U
NasdaqCM:ISUN	NasdaqCM:ISUN;DB:4U1A
NasdaqGM:ITOS	NasdaqGM:ITOS
NasdaqCM:ITI	NasdaqCM:ITI;DB:FQH
NasdaqCM:ITRM	NasdaqCM:ITRM
NasdaqCM:ITHX	NasdaqCM:ITHX;NasdaqCM:ITHX.U
NasdaqCM:ITQ	NasdaqCM:ITQ;NasdaqCM:ITQR.U
NasdaqGS:ITRI	NasdaqGS:ITRI;DB:IT6
NasdaqGS:ITRN	NasdaqGS:ITRN;DB:I4L
NasdaqGS:ISEE	NasdaqGS:ISEE;DB:O2T
NasdaqCM:IZEA	NasdaqCM:IZEA;BST:2IZ;DB:2IZ
NasdaqGS:JJSF	NasdaqGS:JJSF
NasdaqGS:JBHT	NasdaqGS:JBHT;LSE:0J71;WBAG:JBHT;BOVESPA:J1BH34;DB:JB1
NasdaqCM:MAYS	NasdaqCM:MAYS
NasdaqGS:JCOM	NasdaqGS:JCOM;DB:JXC1
NasdaqCM:JCIC	NasdaqCM:JCIC;NasdaqCM:JCIC.U
NasdaqGS:JKHY	NasdaqGS:JKHY;LSE:0A6D;BOVESPA:J1KH34;DB:JHY
NasdaqGS:JACK	NasdaqGS:JACK;DB:JBX
NasdaqCM:JAGX	NasdaqCM:JAGX;DB:1JA2
NasdaqGS:JAKK	NasdaqGS:JAKK
NasdaqGS:JRVR	NasdaqGS:JRVR;DB:0JR
NasdaqGS:JAMF	NasdaqGS:JAMF
NasdaqCM:JAN	NasdaqCM:JAN;DB:5AR1
NasdaqGS:JAZZ	NasdaqGS:JAZZ;BMV:JAZZN;DB:J7Z
NasdaqGS:JD	NasdaqGS:JD;OTCPK:JDCM.F;LSE:0JOQ;BASE:JD;BMV:JDN;WBAG:JD;DB:013A;DB:013C;SEHK:9618
NasdaqCM:JRSH	NasdaqCM:JRSH
NasdaqGS:JBLU	NasdaqGS:JBLU;XTRA:JAW;LSE:0JOT;BMV:JBLU*;DB:JAW
NasdaqCM:JCTC.F	NasdaqCM:JCTC.F
NasdaqGS:FROG	NasdaqGS:FROG
NasdaqGM:JFIN	NasdaqGM:JFIN
NasdaqCM:JYAC	NasdaqCM:JYAC
NasdaqGM:JOAN	NasdaqGM:JOAN
NasdaqCM:JOFF	NasdaqCM:JOFF;NasdaqCM:JOFF.U
NasdaqGS:JBSS	NasdaqGS:JBSS;DB:JO1
NasdaqGS:JOUT	NasdaqGS:JOUT
NasdaqGS:JNCE	NasdaqGS:JNCE;DB:21J
NasdaqCM:JWEL	NasdaqCM:JWEL
NasdaqGS:YY	NasdaqGS:YY;LSE:0VVY;BASE:YY;BMV:YYN;WBAG:JOYY;DB:0YYA
NasdaqCM:JUPW	NasdaqCM:JUPW
NasdaqCM:KSIC.U	NasdaqCM:KSIC.U
NasdaqGS:KDMN	NasdaqGS:KDMN;DB:KDF
NasdaqCM:KAIR	NasdaqCM:KAIR;NasdaqCM:KAIR.U
NasdaqGS:KALU	NasdaqGS:KALU;DB:KLU1
NasdaqCM:KXIN	NasdaqCM:KXIN;BST:K64
NasdaqGS:KALA	NasdaqGS:KALA;LSE:0JQ2;DB:27F
NasdaqGS:KLDO	NasdaqGS:KLDO
NasdaqGM:KALV	NasdaqGM:KALV;DB:4XC1
NasdaqGS:KNDI	NasdaqGS:KNDI;XTRA:K8A;LSE:0QZ7;DB:K8A
NasdaqGS:KRT	NasdaqGS:KRT;MUN:0WJ
NasdaqCM:KARO	NasdaqCM:KARO;JSE:KRO
NasdaqGM:KRTX	NasdaqGM:KRTX;BMV:KRTX*
NasdaqGS:KPTI	NasdaqGS:KPTI;DB:25K
NasdaqCM:KSPN	NasdaqCM:KSPN;DB:TWDA
NasdaqCM:KBSF	NasdaqCM:KBSF;DB:KBP
NasdaqGS:KRNY	NasdaqGS:KRNY
NasdaqGS:KELY.A	NasdaqGS:KELY.A;NasdaqGS:KELY.B;DB:KYSA
NasdaqCM:KMPH	NasdaqCM:KMPH;DB:1GD
NasdaqGM:KFFB	NasdaqGM:KFFB
NasdaqCM:KRNL	NasdaqCM:KRNL;NasdaqCM:KRNL.U
NasdaqGM:KROS	NasdaqGM:KROS
NasdaqGS:KDP	NasdaqGS:KDP;LSE:0Z62;WBAG:KDP;DB:DP5
NasdaqGM:KEQU	NasdaqGM:KEQU;BST:KEW
NasdaqGM:KTCC	NasdaqGM:KTCC;DB:KT1
NasdaqGS:KZR	NasdaqGS:KZR;DB:2KZ
NasdaqGS:KFRC	NasdaqGS:KFRC;DB:ROF
NasdaqCM:KVSA	NasdaqCM:KVSA
NasdaqCM:KVSB	NasdaqCM:KVSB
NasdaqCM:KVSC	NasdaqCM:KVSC
NasdaqGS:KE	NasdaqGS:KE
NasdaqGS:KBAL	NasdaqGS:KBAL;DB:KB1B
NasdaqCM:KIN	NasdaqCM:KIN;DB:17K
NasdaqGS:KC	NasdaqGS:KC
NasdaqCM:KINS	NasdaqCM:KINS;DB:DJ4A
NasdaqGS:KNSA	NasdaqGS:KNSA
NasdaqGS:KNTE	NasdaqGS:KNTE;MUN:6KB
NasdaqCM:KINZ	NasdaqCM:KINZ;NasdaqCM:KINZ.U
NasdaqGS:KNSL	NasdaqGS:KNSL;DB:KCH
NasdaqCM:KTRA	NasdaqCM:KTRA;DB:3DM
NasdaqGS:KIRK	NasdaqGS:KIRK;DB:KI2
NasdaqCM:KRBP	NasdaqCM:KRBP;DB:5JU
NasdaqCM:KSMT	NasdaqCM:KSMT;NasdaqCM:KSMT.U;DB:6N7
NasdaqCM:KIII	NasdaqCM:KIII;NasdaqCM:KIII.U
NasdaqCM:KAII	NasdaqCM:KAII;NasdaqCM:KAII.U
NasdaqCM:KLAQ	NasdaqCM:KLAQ;NasdaqCM:KLAQ.U
NasdaqGS:KLAC	NasdaqGS:KLAC;XTRA:KLAC;LSE:0JPO;BMV:KLAC*;WBAG:KLAC;BOVESPA:K1LA34;DB:KLA
NasdaqCM:INKA	NasdaqCM:INKA;NasdaqCM:INKA.U
NasdaqGS:KLXE	NasdaqGS:KLXE;DB:KX4A
NasdaqGS:KNBE	NasdaqGS:KNBE
NasdaqGM:KOD	NasdaqGM:KOD;BMV:KOD*;DB:K27
NasdaqCM:KOPN	NasdaqCM:KOPN;LSE:0JRR;DB:KOC
